,Cumulative Return,Sharpe Ratio
A2C,0.5285902446142179,1.526526730842503
PPO,0.1960723552278214,1.4176662700174139
TD3,0.45793567211158726,1.682317204688485
DJI,0.13802750022957921,1.2070793699736015
