,Cumulative Return,Sharpe Ratio
A2C,0.6406557666116981,2.3625504334941243
PPO,0.17294768901995772,1.6915815517088393
TD3,0.7919864148594835,2.8210654476345693
DJI,0.13802750022957921,1.2070793699736015
