,Cumulative Return,Sharpe Ratio
A2C,1.0407627250075837,2.8572162939719092
PPO,0.3507841693575975,1.1117079016334015
TD3,0.7303597313473702,2.490331963279848
DJI,0.13802750022957921,1.2070793699736015
